assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,i_d,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,1,,,0,47390,0,0,-3,3,0.7,0,2,0.0,-0.5,0,Neil,['form'],2,0,0.2,31,False,0.8,15,,,42,0,0,0,47390.jpg,-1.0,0,0,Taylor,0.2,False,,a,2,7,0.0,-1,17844,75,32648,98,0.0,-0.2,Taylor,1
0,0,0,,,0,79852,0,0,-1,1,0.0,0,1,0.0,-0.5,0,Jed,['form'],0,0,0.0,32,False,0.0,0,,,39,0,0,0,79852.jpg,0.0,0,0,Steer,4.4,False,,a,2,7,0.0,0,365468,2839,394744,2899,0.0,0.0,Steer,0
1,3,70,0,0,2,85242,0,0,-1,1,82.9,1,3,0.0,0.0,0,Conor,['form'],2,1,18.2,33,False,65.4,225,Joined Swansea City on loan until the end of the season on 20/1,2021-01-20T23:00:22.557566Z,59,0,0,0,85242.jpg,5.0,0,0,Hourihane,0.1,False,,u,2,7,33.0,20,23841,0,27453,33,0.0,3.4,Hourihane,0
0,0,0,0,0,0,89274,0,0,-1,1,0.0,0,3,0.0,0.0,0,José Ignacio,['form'],0,0,0.0,34,False,0.0,0,Contract ended,2020-10-05T07:17:10.828418Z,59,0,0,0,89274.jpg,0.0,0,0,Peleteiro Romallo,0.0,False,,u,2,7,0.0,0,1439,0,7751,5,0.0,0.0,Jota,0
0,0,0,0,0,0,98770,0,0,0,0,0.0,0,1,0.0,0.0,0,Ørjan,['form'],0,0,0.0,35,False,0.0,0,Contract terminated on 5/10,2020-10-05T21:00:11.316167Z,40,0,0,0,98770.jpg,0.0,0,0,Nyland,3.6,False,,u,2,7,0.0,0,145134,0,933037,1360,0.0,0.0,Nyland,0
0,0,0,100,100,0,108156,0,0,-1,1,0.0,0,2,0.0,-0.5,0,Bjorn,['form'],0,0,0.0,36,False,0.0,0,,2020-11-19T11:00:18.103635Z,44,0,0,0,108156.jpg,0.0,0,0,Engels,0.1,False,,a,2,7,0.0,0,12007,13,19248,24,0.0,0.0,Engels,0
12,13,495,75,50,12,114283,0,0,5,-5,953.2,2,3,0.0,-0.2,0,Jack,['form'],24,6,249.1,37,False,668.6,1977,Lack of match fitness - 75% chance of playing,2021-02-21T17:00:26.185544Z,75,0,0,0,114283.jpg,5.9,0,0,Grealish,17.5,False,,d,2,7,871.0,129,5364588,9247,5043399,27963,0.0,17.2,Grealish,6
6,2,356,,,13,122806,0,0,0,0,419.5,0,3,1.8,1.3,1,John,['form'],30,1,107.3,38,False,391.6,2430,,,55,0,0,0,122806.jpg,3.1,0,0,McGinn,1.0,False,,a,2,7,263.0,85,342116,476,325810,1987,0.3,15.5,McGinn,7
0,3,89,50,50,3,123354,0,0,-1,1,1.5,1,2,0.0,-0.2,0,Kortney,['form'],1,1,14.2,39,False,91.0,360,Lack of match fitness - 50% chance of playing,2021-01-26T11:00:18.448973Z,44,0,0,0,123354.jpg,7.0,0,0,Hause,0.1,False,,d,2,7,49.0,28,80407,5,79346,166,0.0,6.4,Hause,1
1,0,106,100,100,6,148508,0,0,-3,3,174.0,0,3,2.0,1.5,2,Mahmoud Ahmed,['form'],13,0,72.6,40,False,144.8,1048,,2020-12-15T11:30:19.909046Z,52,0,0,0,148508.jpg,2.1,0,0,Ibrahim Hassan,0.5,False,,a,2,7,412.0,40,61309,127,133272,331,0.4,7.7,Trézéguet,0
1,8,498,100,100,13,149484,0,0,4,-4,68.2,2,2,2.8,2.3,1,Tyrone,['form'],29,2,91.3,41,False,599.4,2384,,2020-12-26T17:00:15.486559Z,54,0,0,0,149484.jpg,4.0,1,0,Mings,8.9,False,,a,2,7,241.0,109,1617541,3862,1185912,8708,0.5,20.2,Mings,4
3,8,551,,,15,169359,0,0,6,-6,384.4,2,2,3.0,2.5,0,Matt,['form'],28,0,95.5,42,False,475.4,2504,,,51,0,0,0,169359.jpg,4.1,0,0,Targett,15.0,False,,a,2,7,94.0,116,1681156,8037,587493,18728,0.6,22.7,Targett,6
0,0,0,0,0,0,184386,0,0,0,0,0.0,0,2,0.0,0.0,0,James,['form'],0,0,0.0,43,False,0.0,0,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,0,0,0,184386.jpg,0.0,0,0,Bree,0.0,False,,u,2,7,0.0,0,9840,0,10320,3,0.0,0.0,Bree,0
0,0,65,,,4,184704,0,0,-2,2,29.9,0,3,0.5,0.0,0,Marvelous,['form'],1,0,10.1,44,False,60.4,442,,,43,0,0,0,184704.jpg,1.8,0,0,Nakamba,0.4,False,,a,2,7,10.0,16,83585,81,97255,287,0.1,3.7,Nakamba,2
0,9,215,100,100,4,193488,0,0,-7,7,275.3,1,3,1.2,0.7,1,Anwar,['form'],10,6,114.1,45,False,332.0,904,,2021-03-06T20:30:26.625281Z,53,0,0,0,193488.jpg,3.8,0,0,El Ghazi,1.1,False,,a,2,7,534.0,69,553696,861,499519,4667,0.2,13.0,El Ghazi,1
0,7,457,100,100,11,199798,1,-1,2,-2,30.5,1,2,2.8,2.3,1,Ezri,['form'],30,2,72.4,46,False,523.2,2295,,2020-12-17T18:30:14.260503Z,47,0,0,0,199798.jpg,3.8,0,0,Konsa Ngoyo,7.1,False,,a,2,7,168.0,100,1347387,5752,906431,7574,0.6,21.3,Konsa,2
0,0,0,0,0,0,203368,0,0,-2,2,0.0,0,2,0.0,0.0,0,Frédéric,['form'],0,0,0.0,47,False,0.0,0,Joined Strasbourg on loan until the end of the season on 31/1.,2021-01-31T20:00:26.030939Z,43,0,0,0,203368.jpg,0.0,0,0,Guilbert,0.1,False,,u,2,7,0.0,0,2055,0,10076,10,0.0,0.0,Guilbert,0
0,0,0,25,25,0,213345,0,0,0,0,0.0,0,4,0.0,-0.1,0,Wesley,['form'],0,0,0.0,48,False,0.0,0,Lack of match fitness - 25% chance of playing,2020-08-15T10:00:11.458856Z,60,0,0,0,213345.jpg,0.0,0,0,Moraes,0.0,False,,d,2,7,0.0,0,1658,47,1942,36,0.0,0.0,Wesley,0
0,0,0,0,0,0,217487,0,0,-1,1,0.0,0,4,0.0,0.0,0,Mbwana,['form'],0,0,0.0,49,False,0.0,0,Joined Fenerbahce on a permanent deal on 25/9,2020-09-25T09:00:10.072147Z,59,0,0,0,217487.jpg,0.0,0,0,Samatta,0.0,False,,u,2,7,0.0,0,1633,0,8452,4,0.0,0.0,Samatta,0
0,0,26,100,100,0,221239,-1,1,-3,3,28.4,0,4,0.8,0.3,1,Keinan,['form'],0,0,12.1,50,False,12.4,80,,2020-11-24T23:00:18.514322Z,42,0,0,0,221239.jpg,1.0,0,0,Davis,7.7,False,,a,2,7,82.0,8,1208307,5791,1704999,11142,0.2,1.9,Davis,0
0,0,0,0,0,0,223349,0,0,-2,2,0.0,0,4,0.0,0.0,0,Indiana,['form'],0,0,0.0,51,False,0.0,0,Joined Burton Albion on loan until the end of the season on 17/9. - Expected back 01 Jul,2020-09-17T16:30:17.739025Z,43,0,0,0,223349.jpg,0.0,0,0,Vassilev,0.5,False,,u,2,7,0.0,0,63562,0,163139,147,0.0,0.0,Vassilev,0
2,0,270,100,100,11,230046,0,0,-2,2,234.7,0,3,1.8,1.3,2,Douglas Luiz,['form'],28,0,68.7,52,False,320.8,2100,,2020-12-12T15:00:17.663312Z,48,0,0,0,230046.jpg,2.4,1,0,Soares de Paulo,0.2,False,,a,2,7,129.0,57,30161,94,45479,225,0.4,11.9,Douglas Luiz,5
1,4,219,100,100,7,88894,0,0,-1,1,452.1,1,3,1.0,0.5,1,Ross,['form'],18,3,107.5,106,False,233.8,1204,,2020-11-21T17:30:18.042216Z,59,0,0,0,88894.jpg,3.1,0,0,Barkley,0.9,False,,a,2,7,388.0,62,511422,354,504421,2067,0.2,10.5,Barkley,0
2,8,416,100,100,11,199796,0,0,0,0,277.8,1,2,0.0,-0.5,0,Matthew,['form'],26,0,78.2,496,False,422.8,1912,,2021-02-13T22:30:20.186466Z,50,0,0,0,199796.jpg,3.9,0,0,Cash,0.8,False,,a,2,7,79.0,85,210611,908,191950,832,0.0,17.0,Cash,6
6,9,369,,,14,178301,0,0,6,-6,446.7,3,4,2.8,2.3,2,Ollie,['form'],30,10,230.2,514,False,573.2,2520,,,66,0,1,0,178301.jpg,4.3,0,0,Watkins,27.3,False,,a,2,7,1287.0,120,3940656,18574,1928393,69143,0.4,18.2,Watkins,1
3,4,271,100,75,10,110504,0,0,-1,1,301.9,1,3,1.8,1.0,1,Bertrand,['form'],18,5,121.1,540,False,341.6,1521,,2021-03-12T23:00:28.122125Z,59,0,0,0,110504.jpg,3.5,0,0,Traoré,1.1,False,,a,2,7,568.0,90,221623,899,144843,6313,0.3,15.3,Traoré,0
0,0,53,,,2,232653,0,0,0,0,59.4,0,3,1.0,0.5,0,Jacob,['form'],3,0,14.3,554,False,41.8,383,,,45,0,0,0,232653.jpg,1.4,0,0,Ramsey,0.1,False,,a,2,7,44.0,18,14945,133,12501,131,0.2,4.0,Ramsey,0
0,0,21,,,1,122775,0,0,0,0,25.1,0,3,1.2,0.7,2,Morgan,['form'],3,0,4.9,647,False,19.2,222,,,55,0,0,0,122775.jpg,1.0,0,0,Sanson,0.0,False,,a,2,7,7.0,8,585,23,405,33,0.2,1.5,Sanson,3
0,0,0,,,0,465390,0,0,0,0,0.0,0,3,0.0,-0.5,0,Kaine,['form'],0,0,0.0,671,False,0.0,0,,,45,0,0,0,465390.jpg,0.0,0,0,Hayden,0.0,False,,a,2,7,0.0,0,186,12,111,9,0.0,0.0,Hayden,0
0,0,0,,,0,478912,0,0,0,0,0.0,0,3,0.0,-0.5,0,Carney,['form'],0,0,0.0,672,False,0.0,0,,,45,0,0,0,478912.jpg,0.0,0,0,Chukwuemeka,0.0,False,,a,2,7,0.0,0,155,13,82,7,0.0,0.0,Chukwuemeka,0
0,0,0,,,0,481624,0,0,0,0,0.0,0,3,0.0,-0.5,0,Jaden,['form'],0,0,0.0,683,False,0.0,0,,,45,0,0,0,481624.jpg,0.0,0,0,Philogene-Bidace,0.0,False,,a,2,7,0.0,0,64,14,32,6,0.0,0.0,Philogene-Bidace,0
0,0,0,0,0,0,20529,0,0,-2,2,0.0,0,4,0.0,0.0,0,Glenn,['form'],0,0,0.0,53,False,0.0,0,Joined Watford on loan until the end of the season on 1/9. - Expected back 01 Jul,2020-09-02T09:00:10.449975Z,48,0,0,0,20529.jpg,0.0,0,0,Murray,0.1,False,,u,3,36,0.0,0,5020,0,18654,18,0.0,0.0,Murray,0
1,2,198,100,100,4,39155,0,0,-3,3,284.2,0,3,4.2,4.7,3,Adam,['form'],12,1,67.4,54,False,198.4,1178,,2021-01-07T17:00:15.322102Z,62,0,0,0,39155.jpg,2.0,0,0,Lallana,0.5,False,,a,3,36,195.0,47,40953,333,91994,4566,0.8,7.6,Lallana,0
6,9,369,,,7,60307,0,0,-2,2,819.6,0,3,3.8,4.3,6,Pascal,['form'],18,2,159.1,57,False,450.4,1693,,,58,0,1,0,60307.jpg,3.4,0,0,Groß,0.5,False,,a,3,36,322.0,84,145236,215,126824,4618,0.7,14.5,Groß,1
0,0,0,0,0,0,61933,0,0,-2,2,0.0,0,2,0.0,0.0,0,Shane,['form'],0,0,0.0,58,False,0.0,0,Joined Celtic on loan until the end of the season on 2/9. - Expected back 01 Jul,2020-09-02T09:00:10.465117Z,43,0,0,0,61933.jpg,0.0,0,0,Duffy,0.0,False,,u,3,36,0.0,0,662,0,5525,5,0.0,0.0,Duffy,0
0,0,38,100,100,0,66242,0,0,-2,2,5.1,0,3,0.2,0.7,1,Davy,['form'],2,0,8.2,59,False,24.0,209,,2021-02-11T17:00:28.458290Z,48,0,0,0,66242.jpg,1.3,0,0,Pröpper,0.0,False,,a,3,36,52.0,9,1863,9,6863,17,0.1,1.9,Pröpper,0
0,0,0,0,0,0,74471,0,0,0,0,0.0,0,3,0.0,0.0,0,Aaron,['form'],0,0,0.0,60,False,0.0,0,Joined Shanghai SIPG on a permanent deal on 28/8,2020-08-29T10:00:06.731343Z,50,0,0,0,74471.jpg,0.0,0,0,Mooy,0.0,False,,u,3,36,0.0,0,9990,0,11297,2,0.0,0.0,Mooy,0
0,0,206,100,75,4,78916,0,0,-3,3,135.8,0,2,0.2,0.5,0,Dan,['form'],21,0,50.1,61,False,219.6,1514,,2021-03-14T15:00:17.842923Z,42,1,0,0,78916.jpg,1.9,0,0,Burn,0.8,False,,a,3,36,149.0,39,80479,225,78224,2079,0.2,9.3,Burn,5
0,12,486,100,100,8,83299,0,0,0,0,120.8,3,2,5.2,5.7,6,Lewis,['form'],33,4,105.3,62,False,558.8,2340,,2020-10-18T15:00:19.802843Z,50,1,0,0,83299.jpg,3.9,1,0,Dunk,9.3,False,,a,3,36,372.0,101,848949,4841,697024,41944,1.1,20.2,Dunk,4
